module,method,path,function,parameters,request_fields,response_model,evidence
api_hub,GET,/gateway/security/response-signing-key,response_signing_key,,,,modules/api_hub/main.py:73
api_hub,POST,/auth/{path:path},auth_proxy,path:str,,,modules/api_hub/main.py:609
api_hub,POST,/registrations,registrations_proxy,,,,modules/api_hub/main.py:614
api_hub,GET,/gateway/catalog/offers,aggregate_catalog_offers,limit:int;offset:int;q:str | None;category:str | None;offer_type:str | None;lat:float | None;lng:float | None;company_type:str | None;company_category:str | None;business_activity:str | None;price_min:float | None;price_max:float | None;availability:str | None;verified_only:bool,,,modules/api_hub/main.py:619
api_hub,GET,/gateway/consumer/orders,get_consumer_orders,"token_payload:Annotated[dict[str, Any], Depends(validate_catalog_action_token)]",,,modules/api_hub/main.py:716
api_hub,POST,/gateway/consumer/orders/{order_id}/support,create_order_support_case,"order_id:UUID;body:SupportCaseRequest;token_payload:Annotated[dict[str, Any], Depends(validate_catalog_action_token)]",kind;subject;message;desired_resolution;idempotency_key,,modules/api_hub/main.py:788
api_hub,POST,/gateway/consumer/orders/{order_id}/reviews,create_consumer_review,"order_id:UUID;body:ConsumerReviewRequest;token_payload:Annotated[dict[str, Any], Depends(validate_catalog_action_token)]",rating;comment;idempotency_key,,modules/api_hub/main.py:855
api_hub,GET,/gateway/insights/commercial,commercial_insights,,,,modules/api_hub/main.py:919
api_hub,POST,/gateway/merchant/disputes/{dispute_id}/resolve,gateway_resolve_dispute,"dispute_id:UUID;body:GatewayDisputeResolutionRequest;token_payload:dict[str, Any]",resolution_notes;action,,modules/api_hub/main.py:981
api_hub,GET,/gateway/bi/commercial-insights/series,gateway_bi_commercial_insights_series,"token_payload:dict[str, Any]",,,modules/api_hub/main.py:1010
api_hub,GET,/gateway/reviews,gateway_public_reviews,store_id:str | None;company_id:str | None;limit:int,,,modules/api_hub/main.py:1028
api_hub,GET,/gateway/crm/customer-profiles/{user_id}/tickets,gateway_crm_customer_ticket_profile,"user_id:UUID;token_payload:dict[str, Any]",,,modules/api_hub/main.py:1053
api_hub,POST,/gateway/catalog/actions,create_catalog_action,"body:CatalogActionRequest;token_payload:dict[str, Any]",offer_id;action;customer_user_id;idempotency_key;scheduled_at;note;quantity,,modules/api_hub/main.py:1077
api_hub,POST,/gateway/payments/sandbox/authorize,authorize_catalog_payment,"body:CatalogPaymentRequest;token_payload:dict[str, Any]",order_id;idempotency_key;method,,modules/api_hub/main.py:1224
api_hub,POST,/gateway/payments/sandbox/refund,refund_catalog_payment,"body:SandboxRefundRequest;token_payload:dict[str, Any]",order_id;idempotency_key;reason,,modules/api_hub/main.py:1336
api_hub,POST,/gateway/oauth2/token,issue_oauth2_token,body:OAuth2TokenRequest,grant_type;client_id;api_key;scope,,modules/api_hub/main.py:1395
api_hub,GET,/gateway/status,gateway_status,,,,modules/api_hub/main.py:1456
api_hub,GET,/gateway/api-key/check,gateway_api_key_check,key_info:dict,,,modules/api_hub/main.py:1467
api_hub,POST,/gateway/webhooks/verify,gateway_webhook_verify,,,,modules/api_hub/main.py:1476
bi,GET,/valley/bi/commercial-insights/series,commercial_insights_series,"actor:Annotated[Actor, Depends(actor_from_headers)]",,,modules/bi/commercial_routes.py:10
business,POST,/valley/disputes/{dispute_id}/resolve,resolve_dispute,"dispute_id:UUID;body:DisputeResolutionRequest;actor:Annotated[Actor, Depends(actor_from_headers)]",resolution_notes;action,,modules/business/commercial_routes.py:16
business,POST,/recommendations,preview_recommendations,body:BusinessClassificationInput,business_kind;cnae_primary;cnae_secondary;has_physical_stock;sells_online;performs_delivery;hires_people;issues_fiscal_documents;operates_fleet;has_warehouse,list[ModuleRecommendation],modules/business/module_settings.py:345
business,POST,/companies/{company_id}/classification,classify_company,company_id:UUID;body:BusinessClassificationInput,business_kind;cnae_primary;cnae_secondary;has_physical_stock;sells_online;performs_delivery;hires_people;issues_fiscal_documents;operates_fleet;has_warehouse,BusinessClassificationRecord,modules/business/module_settings.py:352
business,POST,/companies/{company_id}/apply-recommendations,apply_recommendations,company_id:UUID;body:ApplyRecommendationsPayload,classification;actor_id,ModuleSettingsResponse,modules/business/module_settings.py:367
business,GET,/companies/{company_id}/modules,get_company_modules,company_id:UUID,,ModuleSettingsResponse,modules/business/module_settings.py:408
business,PATCH,/companies/{company_id}/modules/{module_slug},patch_company_module,company_id:UUID;module_slug:str;body:ModulePatch,state;reason,CompanyModuleSetting,modules/business/module_settings.py:418
business,GET,/companies/{company_id}/modules/{module_slug}/change-impact,get_change_impact,company_id:UUID;module_slug:str;next_state:ModuleState,,,modules/business/module_settings.py:470
crm,GET,/valley/crm/customer-profiles/{user_id}/tickets,customer_ticket_profile,"user_id:UUID;actor:Annotated[Actor, Depends(actor_from_headers)]",,,modules/crm/commercial_routes.py:10
dynamic_forms,GET,/health,health,,,,modules/dynamic_forms/main.py:139
dynamic_forms,GET,/catalog,list_catalog,"context:Annotated[tuple[str, Actor], Depends(tenant_actor)];store:Annotated[DynamicFormsPostgresStore, Depends(get_store)];domain:str | None",,,modules/dynamic_forms/main.py:144
dynamic_forms,GET,/catalog/bindings,list_bindings,"catalog_ids:Annotated[list[UUID], Query(min_length=1, max_length=200)];context:Annotated[tuple[str, Actor], Depends(tenant_actor)];store:Annotated[DynamicFormsPostgresStore, Depends(get_store)]",,,modules/dynamic_forms/main.py:155
dynamic_forms,POST,/definitions,create_definition,"body:DefinitionCreate;context:Annotated[tuple[str, Actor], Depends(tenant_actor)];idempotency_key:Annotated[str, Depends(idempotency_header)];store:Annotated[DynamicFormsPostgresStore, Depends(get_store)]",company_id;module_id;business_context;name;description;change_summary,,modules/dynamic_forms/main.py:166
dynamic_forms,GET,/definitions,list_definitions,"context:Annotated[tuple[str, Actor], Depends(tenant_actor)];store:Annotated[DynamicFormsPostgresStore, Depends(get_store)];status:str | None",,,modules/dynamic_forms/main.py:198
dynamic_forms,GET,/versions/{version_id}/blueprint,get_blueprint,"version_id:UUID;context:Annotated[tuple[str, Actor], Depends(tenant_actor)];store:Annotated[DynamicFormsPostgresStore, Depends(get_store)]",,,modules/dynamic_forms/main.py:211
dynamic_forms,PUT,/versions/{version_id}/blueprint,replace_blueprint,"version_id:UUID;body:BlueprintReplace;context:Annotated[tuple[str, Actor], Depends(tenant_actor)];store:Annotated[DynamicFormsPostgresStore, Depends(get_store)]",blocks;fields;calculations;validations;visibility_rules,,modules/dynamic_forms/main.py:222
dynamic_forms,POST,/versions/{version_id}/homologations,request_homologation,"version_id:UUID;body:HomologationRequest;context:Annotated[tuple[str, Actor], Depends(tenant_actor)];idempotency_key:Annotated[str, Depends(idempotency_header)];store:Annotated[DynamicFormsPostgresStore, Depends(get_store)]",checklist,,modules/dynamic_forms/main.py:236
dynamic_forms,POST,/homologations/{homologation_id}/review,review_homologation,"homologation_id:UUID;body:HomologationReview;context:Annotated[tuple[str, Actor], Depends(tenant_actor)];idempotency_key:Annotated[str, Depends(idempotency_header)];store:Annotated[DynamicFormsPostgresStore, Depends(get_store)]",result;notes;problems;corrections;evidence,,modules/dynamic_forms/main.py:251
dynamic_forms,POST,/versions/{version_id}/publish,publish_version,"version_id:UUID;body:PublicationRequest;context:Annotated[tuple[str, Actor], Depends(tenant_actor)];idempotency_key:Annotated[str, Depends(idempotency_header)];store:Annotated[DynamicFormsPostgresStore, Depends(get_store)]",environment;rollout_policy;tenant_scope;channels,,modules/dynamic_forms/main.py:275
dynamic_forms,POST,/forms/{definition_id}/submissions,submit_form,"definition_id:UUID;body:FormSubmissionRequest;context_actor:Annotated[tuple[str, Actor], Depends(tenant_actor)];idempotency_key:Annotated[str, Depends(idempotency_header)];store:Annotated[DynamicFormsPostgresStore, Depends(get_store)]",values;context;source,,modules/dynamic_forms/main.py:298
erp,POST,/calculations/tax,calculate_tax_preview,x_actor_user_id:str,,,modules/erp/main.py:64
erp,GET,/erp/billing/{document_id},get_billing,document_id:str;store:ErpPostgresStore,,,modules/erp/main.py:86
erp,POST,/erp/billing,create_billing,x_actor_user_id:str;x_actor_company_id:str;x_idempotency_key:str | None;store:ErpPostgresStore,,,modules/erp/main.py:97
erp,POST,/erp/billing/{document_id}/cancel,cancel_billing,document_id:str;x_actor_user_id:str;store:ErpPostgresStore,,,modules/erp/main.py:136
erp,POST,/integrations/sandbox/fiscal/invoices,sandbox_fiscal_invoice,x_actor_user_id:str,,,modules/erp/main.py:162
finance,POST,/transfers,transfer,body:TransferRequest;actor:Actor,,,modules/finance/main.py:15
finance,POST,/pix/out,pix_out,body:PixRequest;actor:Actor,,,modules/finance/main.py:48
finance,POST,/escrows/hold,hold_funds,body:EscrowRequest;actor:Actor,,,modules/finance/main.py:54
finance,POST,/escrows/{escrow_id}/release,release_funds,escrow_id:str;actor:Actor,,,modules/finance/main.py:71
finance,GET,/wallets/{user_id},get_user_wallets,user_id:str;actor:Actor,,,modules/finance/main.py:80
finance,GET,/valley/gold/balance,valley_gold_balance,actor:Actor,,,modules/finance/main.py:88
finance,POST,/webhooks/cash-in,mock_cash_in,body:dict,,,modules/finance/main.py:111
finance,POST,/gateways/cash-out,mock_cash_out,actor:Actor;body:dict,,,modules/finance/main.py:131
identity,POST,/kyc/submit,submit_kyc,body:KYCSubmission,,,modules/identity/main.py:169
identity,GET,/kyc/status/{user_id},get_kyc_status,user_id:UUID,,KYCStatus,modules/identity/main.py:209
identity,POST,/mfa/setup,setup_mfa,body:MFASetup;actor:Actor,,,modules/identity/main.py:231
identity,POST,/mfa/verify,verify_mfa,body:MFAVerification;actor:Actor,,,modules/identity/main.py:283
identity,POST,/kyc/ocr-validate,kyc_ocr_validate,body:dict,,,modules/identity/main.py:381
identity,POST,/auth/login,login,body:LoginRequest;_integrity:IntegrityDecision,,TokenResponse,modules/identity/main.py:404
identity,POST,/auth/refresh,refresh_session,body:RefreshTokenRequest;_integrity:IntegrityDecision,,TokenResponse,modules/identity/main.py:445
identity,POST,/auth/logout,logout,body:RefreshTokenRequest;_integrity:IntegrityDecision,,,modules/identity/main.py:501
identity,POST,/registrations,register_user_with_hash,"body:dict[str, Any];_integrity:IntegrityDecision",,,modules/identity/main.py:528
marketplace,GET,/valley/marketplace/catalog,marketplace_catalog,"q:str | None;category:str | None;store_id:UUID | None;min_price_brl:Decimal | None;max_price_brl:Decimal | None;latitude:float | None;longitude:float | None;radius_km:float | None;in_stock_only:bool;sort:Literal['relevance', 'price_asc', 'price_desc', 'distance', 'rating'];offset:int;limit:int",,,modules/marketplace/main.py:346
marketplace,GET,/valley/feed,valley_feed,latitude:float | None;longitude:float | None;limit:int,,,modules/marketplace/main.py:414
marketplace,GET,/valley/promotions/today,promotion_of_the_day,latitude:float | None;longitude:float | None,,,modules/marketplace/main.py:455
marketplace,GET,/valley/favorites,list_favorites,actor:Actor,,,modules/marketplace/main.py:513
marketplace,PUT,/valley/favorites/{product_id},add_favorite,product_id:UUID;actor:Actor,,,modules/marketplace/main.py:537
marketplace,DELETE,/valley/favorites/{product_id},remove_favorite,product_id:UUID;actor:Actor,,,modules/marketplace/main.py:563
marketplace,GET,/valley/cart,get_cart,actor:Actor,,,modules/marketplace/main.py:587
