event,version,module,entity,action,source_statuses,target_status,roles,requires_mfa,payload_fields,producer,consumers,idempotency_key,correlation_id,evidence
ai.memory.indexed,não declarada,ai_core,ai_memories,index,draft;updated,indexed,,False,memory_key;summary,ai_core,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
ai.memory.updated,não declarada,ai_core,ai_memories,update,draft;indexed;updated,updated,,False,memory_key;summary,ai_core,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
ai.model_run.cost_approved,não declarada,ai_core,model_runs,approve_cost,completed,cost_approved,administrator;auditor;compliance_officer;legal_representative;owner,True,provider_adapter;provider_name;model_name;prompt_tokens;completion_tokens;estimated_cost_brl;requested_at,ai_core,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
ai.model_run.completed,não declarada,ai_core,model_runs,complete,requested,completed,,False,provider_adapter;provider_name;model_name;prompt_tokens;completion_tokens;estimated_cost_brl;requested_at,ai_core,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
ai.model_run.failed,não declarada,ai_core,model_runs,fail,requested,failed,,False,provider_adapter;provider_name;model_name;prompt_tokens;completion_tokens;estimated_cost_brl;requested_at,ai_core,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
ai.moderation.approved,não declarada,ai_core,moderation_decisions,approve,draft;pending_review;pending_validation;under_review,approved,administrator;auditor;compliance_officer;legal_representative;owner,True,module;risk_score,ai_core,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
ai.moderation.rejected,não declarada,ai_core,moderation_decisions,reject,draft;pending_review;pending_validation;under_review,rejected,administrator;auditor;compliance_officer;legal_representative;owner,True,module;risk_score,ai_core,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
ai.moderation.submitted,não declarada,ai_core,moderation_decisions,submit,draft;pending_documents,pending_review,,False,module;risk_score,ai_core,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
api.client.approved,não declarada,api_hub,api_clients,approve,draft;pending_review;pending_validation;under_review,approved,administrator;auditor;compliance_officer;legal_representative;owner,True,client_name;scopes,api_hub,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
api.client.rejected,não declarada,api_hub,api_clients,reject,draft;pending_review;pending_validation;under_review,rejected,administrator;auditor;compliance_officer;legal_representative;owner,True,client_name;scopes,api_hub,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
api.client.submitted,não declarada,api_hub,api_clients,submit,draft;pending_documents,pending_review,,False,client_name;scopes,api_hub,,não comprovada no schema do evento,exigido pelo runtime compartilhado,modules/shared/domain_rules.py
