test_id,file,function,line,async,assertions,status_code_assertions,http_methods,endpoint_literals,parametrized,decorators,execution_status,execution_cases,passed_cases,execution_evidence,evidence
modules/ai_core/tests/test_contract.py::test_required_contract_documents_exist,modules/ai_core/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/ai_core/tests/test_contract.py:4
modules/ai_core/tests/test_create_flow.py::test_create_and_approve_flow,modules/ai_core/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/ai_core/tests/test_create_flow.py:6
modules/ai_core/tests/test_health.py::test_health,modules/ai_core/tests/test_health.py,test_health,4,False,2,1,GET,/health,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/ai_core/tests/test_health.py:4
modules/ai_core/tests/test_permissions.py::test_create_auth_boundary,modules/ai_core/tests/test_permissions.py,test_create_auth_boundary,6,False,1,1,POST,/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/ai_core/tests/test_permissions.py:6
modules/api_hub/tests/test_contract.py::test_required_contract_documents_exist,modules/api_hub/tests/test_contract.py,test_required_contract_documents_exist,4,False,1,0,,,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/api_hub/tests/test_contract.py:4
modules/api_hub/tests/test_create_flow.py::test_create_and_approve_flow,modules/api_hub/tests/test_create_flow.py,test_create_and_approve_flow,6,False,3,2,POST,/approve;/create,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/api_hub/tests/test_create_flow.py:6
modules/api_hub/tests/test_gateway_security.py::test_api_key_check_accepts_configured_key,modules/api_hub/tests/test_gateway_security.py,test_api_key_check_accepts_configured_key,34,False,3,1,GET,/gateway/api-key/check,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/api_hub/tests/test_gateway_security.py:34
modules/api_hub/tests/test_gateway_security.py::test_api_key_check_rejects_missing_invalid_and_unscoped_keys,modules/api_hub/tests/test_gateway_security.py,test_api_key_check_rejects_missing_invalid_and_unscoped_keys,50,False,3,3,GET,/gateway/api-key/check,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/api_hub/tests/test_gateway_security.py:50
modules/api_hub/tests/test_gateway_security.py::test_health_module_proxy_paths_still_require_jwt,modules/api_hub/tests/test_gateway_security.py,test_health_module_proxy_paths_still_require_jwt,133,False,2,0,,/health;/health/resources/patients,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/api_hub/tests/test_gateway_security.py:133
modules/api_hub/tests/test_gateway_security.py::test_proxy_maps_jwt_claims_to_actor_headers,modules/api_hub/tests/test_gateway_security.py,test_proxy_maps_jwt_claims_to_actor_headers,164,False,4,0,,/resources/rider_profiles;/riders/resources/rider_profiles,False,,aprovado,1,1,docs/data-audit/artifacts/pytest_unit_results.xml,modules/api_hub/tests/test_gateway_security.py:164
