audit_type,requirement,aliases,covered,matching_tables,evidence
change_audit,event,event;event_type;routing_key;action,True,audit.logs;audit.domain_events;forms.form_billing_events,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/audit.domain_events.md;docs/data-audit/databases/postgresql/tables/forms.form_billing_events.md
change_audit,entity,entity;resource_type;aggregate_type,True,audit.logs;audit.domain_events,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/audit.domain_events.md
change_audit,entity_id,entity_id;resource_id;aggregate_id,True,audit.logs;audit.domain_events,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/audit.domain_events.md
change_audit,tenant,tenant_id,True,forms.form_billing_events,docs/data-audit/databases/postgresql/tables/forms.form_billing_events.md
change_audit,company,company_id;organization_id,True,tms.freight_audits,docs/data-audit/databases/postgresql/tables/tms.freight_audits.md
change_audit,user,user_id;actor_user_id;created_by,True,audit.logs;audit.domain_events;audit.event_deliveries;jobs.resume_access_logs;identity_core.audit_logs;tms.freight_audits;forms.form_billing_events,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/audit.domain_events.md;docs/data-audit/databases/postgresql/tables/audit.event_deliveries.md;docs/data-audit/databases/postgresql/tables/jobs.resume_access_logs.md;docs/data-audit/databases/postgresql/tables/identity_core.audit_logs.md;docs/data-audit/databases/postgresql/tables/tms.freight_audits.md;docs/data-audit/databases/postgresql/tables/forms.form_billing_events.md
change_audit,role,role;actor_role,False,,
change_audit,session,session_id,False,,
change_audit,device,device_id;device_fingerprint,True,audit.logs,docs/data-audit/databases/postgresql/tables/audit.logs.md
change_audit,ip,ip;ip_address,True,audit.logs;identity_core.audit_logs,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/identity_core.audit_logs.md
change_audit,agent,user_agent;agent,True,audit.logs,docs/data-audit/databases/postgresql/tables/audit.logs.md
change_audit,origin,origin;source,False,,
change_audit,channel,channel,False,,
change_audit,operation,operation;action,True,audit.logs,docs/data-audit/databases/postgresql/tables/audit.logs.md
change_audit,before_state,before_state;before_data;old_values,True,audit.logs,docs/data-audit/databases/postgresql/tables/audit.logs.md
change_audit,after_state,after_state;after_data;new_values;payload,True,audit.logs;audit.domain_events,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/audit.domain_events.md
change_audit,changed_fields,changed_fields,False,,
change_audit,reason,reason;change_reason,False,,
change_audit,correlation,correlation_id,True,audit.domain_events,docs/data-audit/databases/postgresql/tables/audit.domain_events.md
change_audit,causation,causation_id,False,,
change_audit,occurred_at,occurred_at;created_at;timestamp,True,audit.logs;audit.domain_events;audit.event_deliveries;identity_core.audit_logs;tms.freight_audits;forms.form_billing_events,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/audit.domain_events.md;docs/data-audit/databases/postgresql/tables/audit.event_deliveries.md;docs/data-audit/databases/postgresql/tables/identity_core.audit_logs.md;docs/data-audit/databases/postgresql/tables/tms.freight_audits.md;docs/data-audit/databases/postgresql/tables/forms.form_billing_events.md
change_audit,result,result;status,True,audit.logs;audit.domain_events;jobs.resume_access_logs;tms.freight_audits;forms.form_billing_events,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/audit.domain_events.md;docs/data-audit/databases/postgresql/tables/jobs.resume_access_logs.md;docs/data-audit/databases/postgresql/tables/tms.freight_audits.md;docs/data-audit/databases/postgresql/tables/forms.form_billing_events.md
change_audit,error,error;error_detail,False,,
change_audit,approval,approved_by;approval_id,False,,
change_audit,integrity,row_hash;checksum;signature,False,,
change_audit,retention,retention_until;expires_at,False,,
read_audit,viewer,user_id;actor_user_id;accessed_by,True,audit.logs;audit.domain_events;audit.event_deliveries;jobs.resume_access_logs;identity_core.audit_logs;tms.freight_audits;forms.form_billing_events,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/audit.domain_events.md;docs/data-audit/databases/postgresql/tables/audit.event_deliveries.md;docs/data-audit/databases/postgresql/tables/jobs.resume_access_logs.md;docs/data-audit/databases/postgresql/tables/identity_core.audit_logs.md;docs/data-audit/databases/postgresql/tables/tms.freight_audits.md;docs/data-audit/databases/postgresql/tables/forms.form_billing_events.md
read_audit,subject,subject_id;resource_id;resume_id;patient_id,True,audit.logs;jobs.resume_access_logs,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/jobs.resume_access_logs.md
read_audit,purpose,purpose;access_reason;reason,True,jobs.resume_access_logs,docs/data-audit/databases/postgresql/tables/jobs.resume_access_logs.md
read_audit,authorization,authorization;permission;role,False,,
read_audit,occurred_at,accessed_at;created_at;occurred_at,True,audit.logs;audit.domain_events;audit.event_deliveries;jobs.resume_access_logs;identity_core.audit_logs;tms.freight_audits;forms.form_billing_events,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/audit.domain_events.md;docs/data-audit/databases/postgresql/tables/audit.event_deliveries.md;docs/data-audit/databases/postgresql/tables/jobs.resume_access_logs.md;docs/data-audit/databases/postgresql/tables/identity_core.audit_logs.md;docs/data-audit/databases/postgresql/tables/tms.freight_audits.md;docs/data-audit/databases/postgresql/tables/forms.form_billing_events.md
read_audit,result,result;status,True,audit.logs;audit.domain_events;jobs.resume_access_logs;tms.freight_audits;forms.form_billing_events,docs/data-audit/databases/postgresql/tables/audit.logs.md;docs/data-audit/databases/postgresql/tables/audit.domain_events.md;docs/data-audit/databases/postgresql/tables/jobs.resume_access_logs.md;docs/data-audit/databases/postgresql/tables/tms.freight_audits.md;docs/data-audit/databases/postgresql/tables/forms.form_billing_events.md
read_audit,exported,exported;export_id,False,,
read_audit,printed,printed,False,,
read_audit,shared,shared;shared_with,False,,
