module,method,path,field,status,evidence
api_hub,GET,/gateway/security/response-signing-key,payload sem modelo local comprovado,lacuna,modules/api_hub/main.py:74
api_hub,POST,/auth/{path:path},payload sem modelo local comprovado,lacuna,modules/api_hub/main.py:623
api_hub,POST,/registrations,payload sem modelo local comprovado,lacuna,modules/api_hub/main.py:628
api_hub,GET,/gateway/catalog/offers,payload sem modelo local comprovado,lacuna,modules/api_hub/main.py:633
api_hub,POST,/gateway/oauth2/token,grant_type,campo de modelo Pydantic comprovado,modules/api_hub/main.py:730
api_hub,POST,/gateway/oauth2/token,client_id,campo de modelo Pydantic comprovado,modules/api_hub/main.py:730
api_hub,POST,/gateway/oauth2/token,api_key,campo de modelo Pydantic comprovado,modules/api_hub/main.py:730
api_hub,POST,/gateway/oauth2/token,scope,campo de modelo Pydantic comprovado,modules/api_hub/main.py:730
api_hub,GET,/gateway/consumer/orders,payload sem modelo local comprovado,lacuna,modules/api_hub/main.py:774
api_hub,POST,/gateway/consumer/orders/{order_id}/support,kind,campo de modelo Pydantic comprovado,modules/api_hub/main.py:846
api_hub,POST,/gateway/consumer/orders/{order_id}/support,subject,campo de modelo Pydantic comprovado,modules/api_hub/main.py:846
api_hub,POST,/gateway/consumer/orders/{order_id}/support,message,campo de modelo Pydantic comprovado,modules/api_hub/main.py:846
api_hub,POST,/gateway/consumer/orders/{order_id}/support,desired_resolution,campo de modelo Pydantic comprovado,modules/api_hub/main.py:846
api_hub,POST,/gateway/consumer/orders/{order_id}/support,idempotency_key,campo de modelo Pydantic comprovado,modules/api_hub/main.py:846
api_hub,POST,/gateway/consumer/orders/{order_id}/reviews,rating,campo de modelo Pydantic comprovado,modules/api_hub/main.py:913
api_hub,POST,/gateway/consumer/orders/{order_id}/reviews,comment,campo de modelo Pydantic comprovado,modules/api_hub/main.py:913
api_hub,POST,/gateway/consumer/orders/{order_id}/reviews,idempotency_key,campo de modelo Pydantic comprovado,modules/api_hub/main.py:913
api_hub,GET,/gateway/insights/commercial,payload sem modelo local comprovado,lacuna,modules/api_hub/main.py:977
api_hub,POST,/gateway/catalog/actions,offer_id,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1034
api_hub,POST,/gateway/catalog/actions,action,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1034
api_hub,POST,/gateway/catalog/actions,customer_user_id,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1034
api_hub,POST,/gateway/catalog/actions,idempotency_key,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1034
api_hub,POST,/gateway/catalog/actions,scheduled_at,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1034
api_hub,POST,/gateway/catalog/actions,note,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1034
api_hub,POST,/gateway/catalog/actions,quantity,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1034
api_hub,POST,/gateway/payments/sandbox/authorize,order_id,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1181
api_hub,POST,/gateway/payments/sandbox/authorize,idempotency_key,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1181
api_hub,POST,/gateway/payments/sandbox/authorize,method,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1181
api_hub,POST,/gateway/payments/sandbox/refund,order_id,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1280
api_hub,POST,/gateway/payments/sandbox/refund,idempotency_key,campo de modelo Pydantic comprovado,modules/api_hub/main.py:1280
