event,field,producer,consumer,status,evidence
ai.memory.indexed,memory_key,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.memory.indexed,summary,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.memory.updated,memory_key,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.memory.updated,summary,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.cost_approved,provider_adapter,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.cost_approved,provider_name,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.cost_approved,model_name,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.cost_approved,prompt_tokens,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.cost_approved,completion_tokens,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.cost_approved,estimated_cost_brl,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.cost_approved,requested_at,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
ai.model_run.completed,provider_adapter,ai_core,não comprovado,produtor e campo inferidos; consumidor pendente,modules/shared/domain_rules.py; modules/shared/event_contract.py; tests/test_event_contract.py
