app,module,entity,surface,title,route,field,binding,evidence
all-in-one,ai_core,ai_memories,form,Ai Memories,/ai_core/aimemories-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/AiMemoriesForm.tsx:6
all-in-one,ai_core,ai_memories,form,Ai Memories,/ai_core/aimemories-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/AiMemoriesForm.tsx:6
all-in-one,ai_core,ai_memories,form,Ai Memories,/ai_core/aimemories-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/AiMemoriesForm.tsx:6
all-in-one,ai_core,ai_memories,list,Ai Memories,/ai_core/aimemories,name,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/AiMemoriesList.tsx:6
all-in-one,ai_core,ai_memories,list,Ai Memories,/ai_core/aimemories,title,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/AiMemoriesList.tsx:6
all-in-one,ai_core,ai_memories,list,Ai Memories,/ai_core/aimemories,status,campo físico provável,apps/all-in-one/src/pages/ai_core/AiMemoriesList.tsx:6
all-in-one,ai_core,ai_memories,list,Ai Memories,/ai_core/aimemories,created_at,campo físico provável,apps/all-in-one/src/pages/ai_core/AiMemoriesList.tsx:6
all-in-one,ai_core,ai_core,list,Ai_core,/ai_core/ai_core,name,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/Ai_coreOverview.tsx:6
all-in-one,ai_core,ai_core,list,Ai_core,/ai_core/ai_core,title,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/Ai_coreOverview.tsx:6
all-in-one,ai_core,ai_core,list,Ai_core,/ai_core/ai_core,status,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/Ai_coreOverview.tsx:6
all-in-one,ai_core,ai_core,list,Ai_core,/ai_core/ai_core,created_at,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/Ai_coreOverview.tsx:6
all-in-one,ai_core,ai_corepermissions,list,Ai_core Permissões,/ai_core/ai_corepermissions,name,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/Ai_corePermissions.tsx:6
all-in-one,ai_core,ai_corepermissions,list,Ai_core Permissões,/ai_core/ai_corepermissions,title,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/Ai_corePermissions.tsx:6
all-in-one,ai_core,ai_corepermissions,list,Ai_core Permissões,/ai_core/ai_corepermissions,status,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/Ai_corePermissions.tsx:6
all-in-one,ai_core,ai_corepermissions,list,Ai_core Permissões,/ai_core/ai_corepermissions,created_at,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/Ai_corePermissions.tsx:6
all-in-one,ai_core,model_runs,form,Model Runs,/ai_core/modelruns-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/ModelRunsForm.tsx:6
all-in-one,ai_core,model_runs,form,Model Runs,/ai_core/modelruns-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/ModelRunsForm.tsx:6
all-in-one,ai_core,model_runs,form,Model Runs,/ai_core/modelruns-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/ModelRunsForm.tsx:6
all-in-one,ai_core,model_runs,list,Model Runs,/ai_core/modelruns,name,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/ModelRunsList.tsx:6
all-in-one,ai_core,model_runs,list,Model Runs,/ai_core/modelruns,title,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/ModelRunsList.tsx:6
all-in-one,ai_core,model_runs,list,Model Runs,/ai_core/modelruns,status,campo físico provável,apps/all-in-one/src/pages/ai_core/ModelRunsList.tsx:6
all-in-one,ai_core,model_runs,list,Model Runs,/ai_core/modelruns,created_at,campo físico provável,apps/all-in-one/src/pages/ai_core/ModelRunsList.tsx:6
all-in-one,ai_core,moderation_decisions,form,Moderation Decisions,/ai_core/moderationdecisions-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/ModerationDecisionsForm.tsx:6
all-in-one,ai_core,moderation_decisions,form,Moderation Decisions,/ai_core/moderationdecisions-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/ModerationDecisionsForm.tsx:6
all-in-one,ai_core,moderation_decisions,form,Moderation Decisions,/ai_core/moderationdecisions-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/ModerationDecisionsForm.tsx:6
all-in-one,ai_core,moderation_decisions,list,Moderation Decisions,/ai_core/moderationdecisions,name,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/ModerationDecisionsList.tsx:6
all-in-one,ai_core,moderation_decisions,list,Moderation Decisions,/ai_core/moderationdecisions,title,payload genérico/não comprovado,apps/all-in-one/src/pages/ai_core/ModerationDecisionsList.tsx:6
all-in-one,ai_core,moderation_decisions,list,Moderation Decisions,/ai_core/moderationdecisions,status,campo físico provável,apps/all-in-one/src/pages/ai_core/ModerationDecisionsList.tsx:6
all-in-one,ai_core,moderation_decisions,list,Moderation Decisions,/ai_core/moderationdecisions,created_at,campo físico provável,apps/all-in-one/src/pages/ai_core/ModerationDecisionsList.tsx:6
all-in-one,api_hub,api_clients,form,Api Clients,/api_hub/apiclients-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiClientsForm.tsx:6
all-in-one,api_hub,api_clients,form,Api Clients,/api_hub/apiclients-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiClientsForm.tsx:6
all-in-one,api_hub,api_clients,form,Api Clients,/api_hub/apiclients-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiClientsForm.tsx:6
all-in-one,api_hub,api_clients,list,Api Clients,/api_hub/apiclients,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiClientsList.tsx:6
all-in-one,api_hub,api_clients,list,Api Clients,/api_hub/apiclients,title,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiClientsList.tsx:6
all-in-one,api_hub,api_clients,list,Api Clients,/api_hub/apiclients,status,campo físico provável,apps/all-in-one/src/pages/api_hub/ApiClientsList.tsx:6
all-in-one,api_hub,api_clients,list,Api Clients,/api_hub/apiclients,created_at,campo físico provável,apps/all-in-one/src/pages/api_hub/ApiClientsList.tsx:6
all-in-one,api_hub,api_keys,form,Api Keys,/api_hub/apikeys-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiKeysForm.tsx:6
all-in-one,api_hub,api_keys,form,Api Keys,/api_hub/apikeys-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiKeysForm.tsx:6
all-in-one,api_hub,api_keys,form,Api Keys,/api_hub/apikeys-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiKeysForm.tsx:6
all-in-one,api_hub,api_keys,list,Api Keys,/api_hub/apikeys,name,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiKeysList.tsx:6
all-in-one,api_hub,api_keys,list,Api Keys,/api_hub/apikeys,title,payload genérico/não comprovado,apps/all-in-one/src/pages/api_hub/ApiKeysList.tsx:6
